requestday,pagetype,date,bucket,count
1406419200,Page2,1406435400,4975.0,1
1406419200,Page2,1406435400,5125.0,2
1406419200,Page2,1406435400,5150.0,1
1406419200,Page2,1406435400,5275.0,1
1406419200,Page2,1406435400,5375.0,1
1406419200,Page2,1406435400,5500.0,1
1406419200,Page2,1406435400,5550.0,1
1406419200,Page2,1406435400,5675.0,1
1406419200,Page2,1406435400,5825.0,1
1406419200,Page2,1406435400,5925.0,1
1406419200,Page2,1406435400,6150.0,1
1406419200,Page2,1406435400,6375.0,1
1406419200,Page2,1406435400,6650.0,1
1406419200,Page2,1406435400,6925.0,1
1406419200,Page2,1406435400,6950.0,1
1406419200,Page2,1406435400,7000.0,1
1406419200,Page2,1406435400,7150.0,1
1406419200,Page2,1406435400,7275.0,1
1406419200,Page2,1406435400,7400.0,1
1406419200,Page2,1406435400,7525.0,1
1406419200,Page2,1406435400,7775.0,1
1406419200,Page2,1406435400,7925.0,1
1406419200,Page2,1406435400,7975.0,1
1406419200,Page2,1406435400,8025.0,1
1406419200,Page2,1406435400,8175.0,1
1406419200,Page2,1406435400,8250.0,1
1406419200,Page2,1406435400,8725.0,1
1406419200,Page2,1406435400,9100.0,1
1406419200,Page2,1406435400,9325.0,1
1406419200,Page2,1406435400,9575.0,1
1406419200,Page2,1406435400,10000.0,8
1406419200,Page2,1406435700,250.0,1
1406419200,Page2,1406435700,500.0,1
1406419200,Page2,1406435700,550.0,1
1406419200,Page2,1406435700,575.0,3
1406419200,Page2,1406435700,625.0,1
1406419200,Page2,1406435700,650.0,2
1406419200,Page2,1406435700,675.0,1
1406419200,Page2,1406435700,700.0,1
1406419200,Page2,1406435700,750.0,3
1406419200,Page2,1406435700,775.0,2
1406419200,Page2,1406435700,800.0,1
1406419200,Page2,1406435700,825.0,1
1406419200,Page2,1406435700,850.0,4
1406419200,Page2,1406435700,875.0,1
1406419200,Page2,1406435700,900.0,3
1406419200,Page2,1406435700,925.0,3
1406419200,Page2,1406435700,950.0,5
1406419200,Page2,1406435700,1025.0,4
1406419200,Page2,1406435700,1050.0,4
1406419200,Page2,1406435700,1075.0,3
1406419200,Page2,1406435700,1125.0,3
1406419200,Page2,1406435700,1150.0,3
